City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,broken hill,-31.95,141.4333,14.65,43,0,3.3,AU,1695916075
84,nishinoomote,30.7333,131.0,26.66,73,0,3.98,JP,1695916075
85,arish,31.1316,33.7984,27.63,73,0,6.32,EG,1695916075
86,vuokatti,64.146,28.2697,12.92,94,98,1.69,FI,1695916076
87,bredasdorp,-34.5322,20.0403,17.12,78,26,2.5,ZA,1695915259
88,grytviken,-54.2811,-36.5092,2.31,100,100,4.24,GS,1695915513
89,lebu,-37.6167,-73.65,11.96,67,8,9.01,CL,1695915533
90,ust-nera,64.5667,143.2,2.81,99,95,3.86,RU,1695916076
91,isangel,-19.55,169.2667,20.3,66,29,6.56,VU,1695916076
92,colon,9.3592,-79.9014,30.07,70,95,1.95,PA,1695916076
93,yangiyul,41.112,69.0471,23.48,27,94,3.8,UZ,1695916076
94,nar'yan-mar,67.6713,53.087,2.58,84,79,6.56,RU,1695915566
95,avarua,-21.2078,-159.775,23.03,88,20,8.23,CK,1695915516
96,akureyri,65.6835,-18.0878,5.96,81,75,3.09,IS,1695916077
97,colonia,50.9333,6.95,24.97,69,0,2.06,DE,1695916077
98,la sarre,48.8002,-79.1996,17.82,45,9,2.51,CA,1695916077
99,qalat,32.1058,66.9083,19.22,20,0,4.92,AF,1695916077
100,dalbandin,28.8947,64.4101,26.66,15,0,4.18,PK,1695915854
101,yellowknife,62.456,-114.3525,7.45,100,100,3.09,CA,1695915361
102,tiksi,71.6872,128.8694,-1.83,88,100,6.8,RU,1695915509
103,longyearbyen,78.2186,15.6401,-1.09,74,100,10.29,SJ,1695915295
104,lerwick,60.1545,-1.1494,13.0,87,97,9.05,GB,1695916077
105,puerto natales,-51.7236,-72.4875,10.25,50,20,9.26,CL,1695915516
106,ushuaia,-54.8,-68.3,7.81,57,20,9.77,AR,1695915518
107,saldanha,-33.0117,17.9442,29.03,64,33,4.83,ZA,1695915534
108,iqaluit,63.7506,-68.5145,2.85,74,75,5.36,CA,1695915512
109,urengoy,65.9667,78.3667,4.01,98,100,2.92,RU,1695916078
110,gaalkacyo,6.7697,47.4308,34.27,34,48,3.18,SO,1695916078
111,fallon,39.4735,-118.7774,13.29,30,2,2.97,US,1695915904
112,kingston,17.997,-76.7936,33.53,66,20,2.06,JM,1695915953
113,bull savanna,17.8868,-77.5902,29.86,63,84,3.54,JM,1695916078
114,daru,-9.0763,143.2092,24.98,85,82,7.7,PG,1695916078
115,punta arenas,-53.15,-70.9167,9.06,61,20,11.32,CL,1695915523
116,albany,42.6001,-73.9662,18.15,75,70,0.89,US,1695915514
117,walker,30.7335,-95.5669,30.39,74,0,1.54,US,1695916078
118,lake havasu city,34.4839,-114.3224,31.72,13,58,1.79,US,1695916078
119,arraial do cabo,-22.9661,-42.0278,23.92,73,75,8.75,BR,1695916079
120,cabo san lucas,22.8909,-109.9124,32.51,70,0,4.63,MX,1695915306
121,constantia,44.1833,28.65,23.38,58,97,4.06,RO,1695915528
122,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,93,0,3.0,RU,1695915527
123,minas de marcona,-15.2119,-75.1103,17.66,66,42,7.12,PE,1695916079
124,nizhnevartovsk,60.9344,76.5531,8.01,93,100,2.0,RU,1695916079
125,smithers,54.7804,-127.1743,4.18,100,75,0.0,CA,1695915519
126,uzes,44.0167,4.4167,28.8,28,30,2.55,FR,1695916079
127,manakara,-22.1333,48.0167,22.58,78,13,4.45,MG,1695916079
128,buala,-8.145,159.5921,24.77,88,100,1.61,SB,1695916080
129,queenstown,-31.8976,26.8753,19.69,36,2,2.06,ZA,1695915806
130,labuan bajo,-8.4964,119.8877,23.93,80,65,1.26,ID,1695916080
131,carutapera,-1.195,-46.02,31.63,51,68,5.11,BR,1695916080
132,benghazi,32.1167,20.0667,24.91,64,0,4.49,LY,1695916080
133,kirakira,-10.4544,161.9205,25.45,95,100,5.43,SB,1695915525
134,rosario oeste,-14.8361,-56.4275,39.63,27,9,0.84,BR,1695916080
135,kapa'a,22.0752,-159.319,25.18,76,20,6.17,US,1695916080
136,tosontsengel,48.7567,98.2839,0.77,77,99,1.42,MN,1695916080
137,margaret river,-33.95,115.0667,12.24,86,2,3.33,AU,1695915514
138,brisas de zicatela,15.8369,-97.0419,30.29,66,0,1.54,MX,1695916081
139,lompoc,34.6391,-120.4579,13.4,100,75,4.12,US,1695916081
140,georgetown,5.4112,100.3354,29.97,81,20,1.54,MY,1695915465
141,kushchevskaya,46.5564,39.6386,24.12,25,0,7.31,RU,1695916081
142,maragogi,-9.0122,-35.2225,28.15,61,27,6.06,BR,1695916081
143,papatowai,-46.5619,169.4708,7.02,60,79,5.52,NZ,1695915518
144,grand falls-windsor,48.9332,-55.6649,14.72,62,54,1.79,CA,1695916081
145,bandar abbas,27.1865,56.2808,31.99,84,0,3.09,IR,1695916081
146,afgooye,2.1381,45.1212,27.45,84,1,7.49,SO,1695916082
147,washington,47.5001,-120.5015,10.19,81,55,1.17,US,1695915943
148,pangody,65.85,74.4859,3.39,96,100,4.64,RU,1695916082
149,harstad,68.799,16.5293,12.11,80,100,3.58,NO,1695916082
150,castillos,-34.1667,-53.8333,17.99,59,14,4.83,UY,1695915531
151,flin flon,54.7682,-101.865,11.91,94,100,3.09,CA,1695915540
152,mount gambier,-37.8333,140.7667,5.88,59,41,2.5,AU,1695915529
153,san jeronimo de juarez,17.1333,-100.4667,30.21,67,4,0.75,MX,1695916083
